num;question;a;b;c;d;solution;area_code;area;theme;image;Tags\
SL-10;Welchen Minister / welche Ministerin hat das Saarland nicht?;Justizminister / Justizministerin;Au\'dfenminister / Au\'dfenministerin;Finanzminister / Finanzministerin;Innenminister / Innenministerin;b;land;Bundesland;Saarland;-;\
SN-1;Welches Wappen geh\'f6rt zum Freistaat Sachsen?;1;2;3;4;d;land;Bundesland;Sachsen;frage_sn_1;image\
SN-2;Welches ist ein Landkreis in Sachsen?;Vogtlandkreis;Alt\'f6tting;Uckermark;Nordfriesland;a;land;Bundesland;Sachsen;-;\
SN-3;F\'fcr wie viele Jahre wird der Landtag in Sachsen gew\'e4hlt?;3;4;5;6;c;land;Bundesland;Sachsen;-;\
SN-4;Ab welchem Alter darf man in Sachsen bei Kommunalwahlen w\'e4hlen?;14;16;18;20;c;land;Bundesland;Sachsen;-;\
SN-5;Welche Farben hat die Landesflagge von Sachsen?;blau-wei\'df-rot;wei\'df-gr\'fcn;gr\'fcn-wei\'df-rot;schwarz-gelb;b;land;Bundesland;Sachsen;-;\
SN-6;Wo k\'f6nnen Sie sich in Sachsen \'fcber politische Themen informieren?;bei der Landeszentrale f\'fcr politische Bildung;beim Ordnungsamt der Gemeinde;bei den Kirchen;bei der Verbraucherzentrale;a;land;Bundesland;Sachsen;-;\
SN-7;Die Landeshauptstadt von Sachsen hei\'dft ...;Leipzig.;Dresden.;Chemnitz.;Zwickau.;b;land;Bundesland;Sachsen;-;\
SN-8;Welches Bundesland ist Sachsen?;1;2;3;4;d;land;Bundesland;Sachsen;frage_sn_8;image\
SN-9;Wie nennt man den Regierungschef / die Regierungschefin in Sachsen?;Erster Minister / Erste Ministerin;Premierminister / Premierministerin;B\'fcrgermeister / B\'fcrgermeisterin;Ministerpr\'e4sident / Ministerpr\'e4sidentin;d;land;Bundesland;Sachsen;-;\
SN-10;Welchen Minister / welche Ministerin hat Sachsen nicht?;Justizminister / Justizministerin;Au\'dfenminister / Au\'dfenministerin;Finanzminister / Finanzministerin;Innenminister / Innenministerin;b;land;Bundesland;Sachsen;-;\
ST-1;Welches Wappen geh\'f6rt zum Bundesland Sachsen-Anhalt?;1;2;3;4;d;land;Bundesland;Sachsen-Anhalt;frage_st_1;image\
ST-2;Welches ist ein Landkreis in Sachsen-Anhalt?;Ammerland;Alt\'f6tting;Uckermark;B\'f6rde;d;land;Bundesland;Sachsen-Anhalt;-;\
ST-3;F\'fcr wie viele Jahre wird der Landtag in Sachsen-Anhalt gew\'e4hlt?;3;4;5;6;c;land;Bundesland;Sachsen-Anhalt;-;\
ST-4;Ab welchem Alter darf man in Sachsen-Anhalt bei Kommunalwahlen w\'e4hlen?;14;16;18;20;b;land;Bundesland;Sachsen-Anhalt;-;\
ST-5;Welche Farben hat die Landesflagge von Sachsen-Anhalt?;blau-wei\'df-rot;gelb-schwarz;gr\'fcn-wei\'df-rot;wei\'df-rot;b;land;Bundesland;Sachsen-Anhalt;-;\
ST-6;Wo k\'f6nnen Sie sich in Sachsen-Anhalt \'fcber politische Themen informieren?;bei den Kirchen;bei der Landeszentrale f\'fcr politische Bildung;beim Ordnungsamt der Gemeinde;bei der Verbraucherzentrale;b;land;Bundesland;Sachsen-Anhalt;-;\
ST-7;Die Landeshauptstadt von Sachsen-Anhalt hei\'dft ...;Halle.;Dessau.;Magdeburg.;Wittenberg.;c;land;Bundesland;Sachsen-Anhalt;-;\
ST-8;Welches Bundesland ist Sachsen-Anhalt?;1;2;3;4;c;land;Bundesland;Sachsen-Anhalt;frage_st_8;image\
ST-9;Wie nennt man den Regierungschef / die Regierungschefin in Sachsen-Anhalt?;Erster Minister / Erste Ministerin;Premierminister / Premierministerin;B\'fcrgermeister / B\'fcrgermeisterin;Ministerpr\'e4sident / Ministerpr\'e4sidentin;d;land;Bundesland;Sachsen-Anhalt;-;\
ST-10;Welchen Minister / welche Ministerin hat Sachsen-Anhalt nicht?;Justizminister / Justizministerin;Au\'dfenminister / Au\'dfenministerin;Finanzminister / Finanzministerin;Innenminister / Innenministerin;b;land;Bundesland;Sachsen-Anhalt;-;\
TH-1;Welches Wappen geh\'f6rt zum Freistaat Th\'fcringen?;1;2;3;4;d;land;Bundesland;Th\'fcringen;frage_th_1;image\
TH-2;Welches ist ein Landkreis in Th\'fcringen?;Ammerland;Alt\'f6tting;Nordfriesland;Wartburgkreis;d;land;Bundesland;Th\'fcringen;-;\
TH-3;F\'fcr wie viele Jahre wird der Landtag in Th\'fcringen gew\'e4hlt?;3;4;5;6;c;land;Bundesland;Th\'fcringen;-;\
TH-4;Ab welchem Alter darf man in Th\'fcringen bei Kommunalwahlen w\'e4hlen?;14;18;16;20;c;land;Bundesland;Th\'fcringen;-;\
TH-5;Welche Farben hat die Landesflagge von Th\'fcringen?;blau-wei\'df-rot;wei\'df-rot;gr\'fcn-wei\'df-rot;schwarz-gold;b;land;Bundesland;Th\'fcringen;-;\
TH-6;Wo k\'f6nnen Sie sich in Th\'fcringen \'fcber politische Themen informieren?;bei den Kirchen;bei der Verbraucherzentrale;bei der Landeszentrale f\'fcr politische Bildung;beim Ordnungsamt der Gemeinde;c;land;Bundesland;Th\'fcringen;-;\
TH-7;Die Landeshauptstadt von Th\'fcringen hei\'dft ...;Eisenach.;Erfurt.;Gera.;Jena.;b;land;Bundesland;Th\'fcringen;-;\
TH-8;Welches Bundesland ist Th\'fcringen?;1;2;3;4;b;land;Bundesland;Th\'fcringen;frage_th_8;image\
TH-9;Wie nennt man den Regierungschef / die Regierungschefin in Th\'fcringen?;Erster Minister / Erste Ministerin;Premierminister / Premierministerin;B\'fcrgermeister / B\'fcrgermeisterin;Ministerpr\'e4sident / Ministerpr\'e4sidentin;d;land;Bundesland;Th\'fcringen;-;\
TH-10;Welchen Minister / welche Ministerin hat Th\'fcringen nicht?;Justizminister / Justizministerin;Au\'dfenminister / Au\'dfenministerin;Finanzminister / Finanzministerin;Innenminister / Innenministerin;b;land;Bundesland;Th\'fcringen;-;
